Frame,Time,RMSD
0,1.000000,0.000001
1,2.000000,0.463659
2,3.000000,0.641934
3,4.000000,0.774398
4,5.000000,0.858860
5,5.999999,0.946003
6,6.999999,1.032053
7,7.999999,1.144403
8,8.999999,1.223125
9,9.999999,1.333624
10,10.999999,1.432323
11,11.999999,1.538463
12,12.999999,1.628120
13,13.999999,1.715375
14,14.999999,1.804229
15,15.999999,1.883526
16,16.999999,1.961129
17,17.999998,2.026876
18,18.999998,2.165745
19,19.999998,2.256926
20,20.999998,2.360597
21,21.999998,2.439455
22,22.999998,2.530230
23,23.999998,2.611084
24,24.999998,2.731082
25,25.999998,2.794775
26,26.999998,2.868841
27,27.999998,2.966721
28,28.999997,3.049685
29,29.999997,3.134429
30,30.999997,3.213346
31,31.999997,3.297173
32,32.999997,3.377311
33,33.999997,3.457663
34,34.999997,3.539652
35,35.999997,3.593619
36,36.999997,3.688890
37,37.999997,3.733925
38,38.999997,3.816343
39,39.999996,3.887500
40,40.999996,3.965855
41,41.999996,4.062412
42,42.999996,4.112519
43,43.999996,4.200031
44,44.999996,4.261130
45,45.999996,4.384723
46,46.999996,4.466591
47,47.999996,4.568119
48,48.999996,4.662338
49,49.999996,4.699729
50,50.999996,4.781816
51,51.999995,4.847309
52,52.999995,4.958490
53,53.999995,5.022108
54,54.999995,5.118358
55,55.999995,5.182217
56,56.999995,5.225564
57,57.999995,5.313457
58,58.999995,5.428013
59,59.999995,5.462556
60,60.999995,5.507588
61,61.999995,5.582377
62,62.999994,5.657466
63,63.999994,5.756843
64,64.999994,5.825946
65,65.999994,5.896058
66,66.999994,5.996362
67,67.999994,6.042642
68,68.999994,6.181931
69,69.999994,6.276390
70,70.999994,6.372066
71,71.999994,6.385448
72,72.999994,6.416196
73,73.999993,6.445193
74,74.999993,6.508273
75,75.999993,6.525037
76,76.999993,6.565061
77,77.999993,6.636685
78,78.999993,6.650619
79,79.999993,6.688730
80,80.999993,6.701381
81,81.999993,6.685782
82,82.999993,6.685847
83,83.999993,6.687647
84,84.999993,6.746246
85,85.999992,6.786743
86,86.999992,6.783925
87,87.999992,6.773142
88,88.999992,6.817168
89,89.999992,6.826463
90,90.999992,6.854405
91,91.999992,6.817340
92,92.999992,6.834995
93,93.999992,6.817898
94,94.999992,6.804211
95,95.999992,6.807987
96,96.999991,6.821205
97,97.999991,6.820322
